,TotalPop,WhitePop,AsianPop,AfricanPop,HispPop
1,766737,519066,28047,161624,28630
2,738776,621473,12850,60449,18237
3,809881,387745,37631,279642,61586
4,714581,622386,7138,29243,31488
5,731655,640699,9666,16007,44664
6,681651,633545,3194,12466,6872
7,743551,667035,3911,22882,23837
8,745908,622627,19749,41429,29958
9,704330,462873,9810,116361,80130
10,728978,532504,17711,122015,25246
11,676238,255786,17825,341318,33561
12,808118,672009,38686,40993,20192
13,704120,546735,14266,76580,28710
14,719537,615574,18682,36874,22622
15,769052,657458,23187,30684,24192
16,736904,652990,21202,17811,25188
