,TotalPop,WhitePop,AsianPop,AfricanPop,HispPop,DemPercent,RepPercent,DemVote,RepVote,MajorityMinority,Representative
1,766737,519066,28047,161624,28630,52.5,47.5,151418,137213,1,Greg Landsman
2,738776,621473,12850,60449,18237,25.5,74.5,64329,188289,1,Brad Wenstrup
3,809881,387745,37631,279642,61586,70.2,29.8,174846,74335,1,Joyce Beatty
4,714581,622386,7138,29243,31488,30.7,69.3,87144,196898,1,Jim Jordan
5,731655,640699,9666,16007,44664,33,67,90614,184205,1,Bob Latta
6,681651,633545,3194,12466,6872,32.6,67.4,86269,178707,1,Bill Johnson
7,743551,667035,3911,22882,23837,44.6,55.4,132548,164904,1,Max Miller
8,745908,622627,19749,41429,29958,33.3,66.7,75336,150944,1,Warren Davidson
9,704330,462873,9810,116361,80130,56.5,43.5,129489,99601,1,Marcy Kaptur
10,728978,532504,17711,122015,25246,37.8,62.2,98383,161792,1,Michael Turner
11,676238,255786,17825,341318,33561,78,22,150685,42539,1,Shontel Brown
12,808118,672009,38686,40993,20192,30.5,69.5,79891,182158,1,Troy Balderson
13,704120,546735,14266,76580,28710,52.5,47.5,145826,131704,1,Emilia Sykes
14,719537,615574,18682,36874,22622,38.1,61.9,111155,180251,1,David Joyce
15,769052,657458,23187,30684,24192,39.3,60.7,90672,140012,1,Mike Carey
16,736904,652990,21202,17811,25188,36.8,63.2,144071,247335,1,Anthony Gonzalez
